TS_Machine,bvp
1555571837.46297,-12.04947
1555571837.4786,-9.246649
1555571837.49423,-6.134416
1555571837.50985,-2.913572
1555571837.52548,0.2226171
1555571837.5411,3.10943
1555571837.55673,5.604715
1555571837.57235,7.541423
1555571837.58798,8.760851
1555571837.60361,9.16665
1555571837.61923,8.831367
1555571837.63486,8.002872
1555571837.65048,7.066673
1555571837.66611,6.40334
1555571837.68173,6.229346
1555571837.69736,6.522802
1555571837.71299,7.095344
1555571837.72861,7.685163
1555571837.74424,8.104191
1555571837.75986,8.312499
1555571837.77549,8.383549
1555571837.79112,8.4417
1555571837.80674,8.578267
1555571837.82237,8.790521
1555571837.83799,8.984988
1555571837.85362,9.05341
1555571837.86924,8.892282
1555571837.88487,8.482588
1555571837.9005,7.882126
1555571837.91612,7.203447
1555571837.93175,6.541833
1555571837.94737,5.940751
1555571837.963,5.320879
1555571837.97862,4.552843
1555571837.99425,3.542309
1555571838.00988,2.277245
1555571838.0255,0.8527613
1555571838.04113,-0.5420198
1555571838.05675,-1.78739
1555571838.07238,-2.856204
1555571838.088,-3.870123
1555571838.10363,-4.996289
1555571838.11926,-6.324436
1555571838.13488,-7.817834
1555571838.15051,-9.346696
1555571838.16613,-10.77146
1555571838.18176,-12.03376
1555571838.19738,-13.19174
1555571838.21301,-14.35438
1555571838.22864,-15.6264
1555571838.24426,-17.03575
1555571838.25989,-18.5447
1555571838.27551,-20.05195
1555571838.29114,-21.42204
1555571838.30676,-22.46098
1555571838.32239,-22.92113
1555571838.33802,-22.56859
1555571838.35364,-21.2318
1555571838.36927,-18.92628
1555571838.38489,-15.83625
1555571838.40052,-12.30403
1555571838.41614,-8.683106
1555571838.43177,-5.247143
1555571838.4474,-2.123358
1555571838.46302,0.6564035
1555571838.47865,3.104548
1555571838.49427,5.207446
1555571838.5099,6.90214
1555571838.52552,8.070705
1555571838.54115,8.657148
1555571838.55678,8.714214
1555571838.5724,8.457257
1555571838.58803,8.160276
1555571838.60365,8.087972
1555571838.61928,8.366076
1555571838.6349,8.940876
1555571838.65053,9.639947
1555571838.66616,10.29542
1555571838.68178,10.83458
1555571838.69741,11.28358
1555571838.71303,11.67375
1555571838.72866,11.93784
1555571838.74428,11.95165
1555571838.75991,11.60097
1555571838.77554,10.93248
1555571838.79116,10.16116
1555571838.80679,9.563861
1555571838.82241,9.325617
1555571838.83804,9.37539
1555571838.85366,9.454952
1555571838.86929,9.255985
1555571838.88492,8.607363
1555571838.90054,7.545877
1555571838.91617,6.256502
1555571838.93179,4.937613
1555571838.94742,3.693823
1555571838.96304,2.520486
1555571838.97867,1.343967
1555571838.9943,0.1197519
1555571839.00992,-1.160195
1555571839.02555,-2.505622
1555571839.04117,-3.949093
1555571839.0568,-5.5305
1555571839.07242,-7.264517
1555571839.08805,-9.08573
1555571839.10368,-10.88475
1555571839.1193,-12.53626
1555571839.13493,-13.99425
1555571839.15055,-15.30733
1555571839.16618,-16.617
1555571839.1818,-18.06997
1555571839.19743,-19.74522
1555571839.21306,-21.61803
1555571839.22868,-23.49402
1555571839.24431,-25.06397
1555571839.25993,-25.97051
1555571839.27556,-25.89956
1555571839.29118,-24.64532
1555571839.30681,-22.1843
1555571839.32244,-18.67684
1555571839.33806,-14.43508
1555571839.35369,-9.869091
1555571839.36931,-5.418476
1555571839.38494,-1.454468
1555571839.40056,1.781357
1555571839.41619,4.236443
1555571839.43182,6.003704
1555571839.44744,7.293549
1555571839.46307,8.29826
1555571839.47869,9.106895
1555571839.49432,9.694813
1555571839.50994,9.994888
1555571839.52557,9.973545
1555571839.5412,9.714611
1555571839.55682,9.419071
1555571839.57245,9.292648
1555571839.58807,9.499802
1555571839.6037,10.06016
1555571839.61932,10.87461
1555571839.63495,11.76167
1555571839.65058,12.55511
1555571839.6662,13.15151
1555571839.68183,13.52975
1555571839.69745,13.77315
1555571839.71308,13.91325
1555571839.7287,13.98914
1555571839.74433,13.96619
1555571839.75996,13.78967
1555571839.77558,13.38734
1555571839.79121,12.76279
1555571839.80683,11.97744
1555571839.82246,11.07657
1555571839.83808,10.05883
1555571839.85371,8.83316
1555571839.86934,7.305931
1555571839.88496,5.443893
1555571839.90059,3.38361
1555571839.91621,1.369488
1555571839.93184,-0.3162766
1555571839.94746,-1.499104
1555571839.96309,-2.219814
1555571839.97872,-2.674473
1555571839.99434,-3.094997
1555571840.00997,-3.679688
1555571840.02559,-4.527
1555571840.04122,-5.673363
1555571840.05684,-7.143021
1555571840.07247,-8.947395
1555571840.0881,-11.0475
1555571840.10372,-13.34706
1555571840.11935,-15.63051
1555571840.13497,-17.65708
1555571840.1506,-19.19148
1555571840.16622,-20.04861
1555571840.18185,-20.12067
1555571840.19748,-19.31916
1555571840.2131,-17.61149
1555571840.22873,-14.9824
1555571840.24435,-11.48958
1555571840.25998,-7.273567
1555571840.2756,-2.600288
1555571840.29123,2.176865
1555571840.30686,6.659035
1555571840.32248,10.47672
1555571840.33811,13.33801
1555571840.35373,15.10159
1555571840.36936,15.79526
1555571840.38498,15.58796
1555571840.40061,14.76435
1555571840.41624,13.61634
1555571840.43186,12.43008
1555571840.44749,11.44446
1555571840.46311,10.84033
1555571840.47874,10.70516
1555571840.49437,11.01325
1555571840.50999,11.60407
1555571840.52562,12.25059
1555571840.54124,12.74471
1555571840.55687,12.99477
1555571840.57249,13.04636
1555571840.58812,13.00974
1555571840.60375,12.96152
1555571840.61937,12.89082
1555571840.635,12.72453
1555571840.65062,12.37866
1555571840.66625,11.85802
1555571840.68187,11.22344
1555571840.6975,10.54132
1555571840.71313,9.821144
1555571840.72875,8.992287
1555571840.74438,7.937119
1555571840.76,6.611168
1555571840.77563,5.059959
1555571840.79125,3.414322
1555571840.80688,1.836639
1555571840.82251,0.4269714
1555571840.83813,-0.8261795
1555571840.85376,-2.012428
1555571840.86938,-3.254517
1555571840.88501,-4.648582
1555571840.90063,-6.215561
1555571840.91626,-7.924164
1555571840.93189,-9.720215
1555571840.94751,-11.58508
1555571840.96314,-13.52626
1555571840.97876,-15.53628
1555571840.99439,-17.53787
1555571841.01001,-19.28587
1555571841.02564,-20.43764
1555571841.04127,-20.61642
1555571841.05689,-19.58399
1555571841.07252,-17.36053
1555571841.08814,-14.19941
1555571841.10377,-10.49883
1555571841.11939,-6.624092
1555571841.13502,-2.825165
1555571841.15065,0.8159027
1555571841.16627,4.241882
1555571841.1819,7.361511
1555571841.19752,9.991653
1555571841.21315,11.90041
1555571841.22877,12.91193
1555571841.2444,13.02016
1555571841.26003,12.39305
1555571841.27565,11.33672
1555571841.29128,10.19073
1555571841.3069,9.226311
1555571841.32253,8.601898
1555571841.33815,8.354919
1555571841.35378,8.460495
1555571841.36941,8.880173
1555571841.38503,9.551392
1555571841.40066,10.38757
1555571841.41628,11.25845
1555571841.43191,12.01893
1555571841.44753,12.5446
1555571841.46316,12.76506
1555571841.47879,12.66691
1555571841.49441,12.26279
1555571841.51004,11.57438
1555571841.52566,10.58187
1555571841.54129,9.282166
1555571841.55691,7.728294
1555571841.57254,6.039009
1555571841.58817,4.39679
1555571841.60379,2.948807
1555571841.61942,1.730591
1555571841.63504,0.6712265
1555571841.65067,-0.3665314
1555571841.66629,-1.514969
1555571841.68192,-2.838943
1555571841.69755,-4.330475
1555571841.71317,-5.955795
1555571841.7288,-7.685104
1555571841.74442,-9.464668
1555571841.76005,-11.23686
1555571841.77567,-12.92323
1555571841.7913,-14.49089
1555571841.80693,-15.97737
1555571841.82255,-17.51266
1555571841.83818,-19.22143
1555571841.8538,-21.12433
1555571841.86943,-23.0621
1555571841.88505,-24.66836
1555571841.90068,-25.49999
1555571841.91631,-25.19345
1555571841.93193,-23.57562
1555571841.94756,-20.72835
1555571841.96318,-16.92934
1555571841.97881,-12.54001
1555571841.99443,-7.919762
1555571842.01006,-3.375351
1555571842.02569,0.8556671
1555571842.04131,4.5849
1555571842.05694,7.673363
1555571842.07256,10.02301
1555571842.08819,11.60539
1555571842.10381,12.44363
1555571842.11944,12.64978
1555571842.13507,12.39534
1555571842.15069,11.90747
1555571842.16632,11.39809
1555571842.18194,11.04124
1555571842.19757,10.90209
1555571842.21319,10.95208
1555571842.22882,11.10114
1555571842.24445,11.26067
1555571842.26007,11.39449
1555571842.2757,11.52012
1555571842.29132,11.65573
1555571842.30695,11.80748
1555571842.32257,11.92398
1555571842.3382,11.94476
1555571842.35383,11.827
1555571842.36945,11.57423
1555571842.38508,11.22253
1555571842.4007,10.7905
1555571842.41633,10.24003
1555571842.43195,9.515907
1555571842.44758,8.584801
1555571842.46321,7.478874
1555571842.47883,6.275902
1555571842.49446,5.060143
1555571842.51008,3.880219
1555571842.52571,2.705162
1555571842.54133,1.473564
1555571842.55696,0.1146851
1555571842.57259,-1.377563
1555571842.58821,-2.955948
1555571842.60384,-4.552025
1555571842.61946,-6.097343
1555571842.63509,-7.577888
1555571842.65072,-8.998688
1555571842.66634,-10.41668
1555571842.68197,-11.86795
1555571842.69759,-13.41069
1555571842.71322,-15.08008
1555571842.72884,-16.90987
1555571842.74447,-18.89185
1555571842.7601,-20.93787
1555571842.77572,-22.86474
1555571842.79135,-24.35567
1555571842.80697,-25.06304
1555571842.8226,-24.65079
1555571842.83822,-22.93625
1555571842.85385,-19.94458
1555571842.86948,-15.93061
1555571842.8851,-11.29054
1555571842.90073,-6.459137
1555571842.91635,-1.817276
1555571842.93198,2.362328
1555571842.9476,5.897728
1555571842.96323,8.684738
1555571842.97886,10.65162
1555571842.99448,11.80559
1555571843.01011,12.24167
1555571843.02573,12.15227
1555571843.04136,11.78017
1555571843.05698,11.35847
1555571843.07261,11.04769
1555571843.08824,10.89548
1555571843.10386,10.87986
1555571843.11949,10.91788
1555571843.13511,10.9466
1555571843.15074,10.95173
1555571843.16636,10.96883
1555571843.18199,11.0504
1555571843.19762,11.21642
1555571843.21324,11.43114
1555571843.22887,11.61728
1555571843.24449,11.68787
1555571843.26012,11.56651
1555571843.27574,11.22597
1555571843.29137,10.66607
1555571843.307,9.932201
1555571843.32262,9.059387
1555571843.33825,8.09536
1555571843.35387,7.073814
1555571843.3695,6.015766
1555571843.38512,4.935001
1555571843.40075,3.815525
1555571843.41638,2.62352
1555571843.432,1.32288
1555571843.44763,-0.0859642
1555571843.46325,-1.557583
1555571843.47888,-3.029335
1555571843.4945,-4.449627
1555571843.51013,-5.811081
1555571843.52576,-7.127457
1555571843.54138,-8.392242
1555571843.55701,-9.537777
1555571843.57263,-10.47417
1555571843.58826,-11.14671
1555571843.60388,-11.61115
1555571843.61951,-12.07635
1555571843.63514,-12.82114
1555571843.65076,-14.0707
1555571843.66639,-15.88355
1555571843.68201,-18.11319
1555571843.69764,-20.43483
1555571843.71326,-22.4877
1555571843.72889,-23.95054
1555571843.74452,-24.61308
1555571843.76014,-24.33929
1555571843.77577,-23.07835
1555571843.79139,-20.85105
1555571843.80702,-17.74841
1555571843.82264,-13.97731
1555571843.83827,-9.795212
1555571843.8539,-5.503658
1555571843.86952,-1.364586
1555571843.88515,2.423302
1555571843.90077,5.729412
1555571843.9164,8.473866
1555571843.93202,10.59365
1555571843.94765,12.05931
1555571843.96328,12.82671
1555571843.9789,12.89745
1555571843.99453,12.34761
1555571844.01015,11.37541
1555571844.02578,10.28694
1555571844.0414,9.447697
1555571844.05703,9.119942
1555571844.07266,9.396809
1555571844.08828,10.15952
1555571844.10391,11.12444
1555571844.11953,12.01909
1555571844.13516,12.66364
1555571844.15078,13.02732
1555571844.16641,13.1529
1555571844.18204,13.07362
1555571844.19766,12.759
1555571844.21329,12.18293
1555571844.22891,11.36565
1555571844.24454,10.43796
1555571844.26016,9.602467
1555571844.27579,8.983002
1555571844.29142,8.557091
1555571844.30704,8.128899
1555571844.32267,7.459976
1555571844.33829,6.388584
1555571844.35392,4.919704
1555571844.36954,3.212364
1555571844.38517,1.481625
1555571844.4008,-0.07820511
1555571844.41642,-1.419415
1555571844.43205,-2.567734
1555571844.44767,-3.629223
1555571844.4633,-4.700348
1555571844.47892,-5.853153
1555571844.49455,-7.088078
1555571844.51018,-8.367565
1555571844.5258,-9.676197
1555571844.54143,-11.0017
1555571844.55705,-12.42431
1555571844.57268,-14.04748
1555571844.5883,-15.93518
1555571844.60393,-18.01915
1555571844.61956,-20.07311
1555571844.63518,-21.71151
1555571844.65081,-22.5014
1555571844.66643,-22.07781
1555571844.68206,-20.26133
1555571844.69768,-17.12494
1555571844.71331,-12.96389
1555571844.72894,-8.223946
1555571844.74456,-3.400936
1555571844.76019,1.0798
1555571844.77581,4.918335
1555571844.79144,7.97892
1555571844.80706,10.25633
1555571844.82269,11.83091
1555571844.83832,12.80191
1555571844.85394,13.28468
1555571844.86957,13.36603
1555571844.88519,13.15189
1555571844.90082,12.78624
1555571844.91645,12.39187
1555571844.93207,12.09563
1555571844.9477,11.97597
1555571844.96332,12.0429
1555571844.97895,12.25267
1555571844.99457,12.53413
1555571845.0102,12.79284
1555571845.02583,12.95483
1555571845.04145,13.00716
1555571845.05708,13.00345
1555571845.0727,13.0291
1555571845.08833,13.08803
1555571845.10395,13.09447
1555571845.11958,12.83394
1555571845.13521,12.08615
1555571845.15083,10.76026
1555571845.16646,9.00592
1555571845.18208,7.152145
1555571845.19771,5.557926
1555571845.21333,4.401047
1555571845.22896,3.599564
1555571845.24459,2.866055
1555571845.26021,1.88451
1555571845.27584,0.5051994
1555571845.29146,-1.226151
1555571845.30709,-3.12075
1555571845.32271,-4.975117
1555571845.33834,-6.663849
1555571845.35397,-8.14843
1555571845.36959,-9.463398
1555571845.38522,-10.64093
1555571845.40084,-11.75496
1555571845.41647,-12.92881
1555571845.43209,-14.32827
1555571845.44772,-16.07761
1555571845.46335,-18.19697
1555571845.47897,-20.53548
1555571845.4946,-22.77655
1555571845.51022,-24.5284
1555571845.52585,-25.40326
1555571845.54147,-25.12182
1555571845.5571,-23.52645
1555571845.57273,-20.64979
