TS_Machine,ax,ay,az
1555581076.4544,-128,-51,-86
1555581076.48565,-125,-44,-69
1555581076.5169,-97,-17,-41
1555581076.54815,-71,-1,-28
1555581076.5794,-32,7,-15
1555581076.61065,-22,18,-7
1555581076.64191,-9,43,10
1555581076.67316,-12,46,6
1555581076.70441,-19,39,0
1555581076.73566,-73,31,-24
1555581076.76691,-89,21,-30
1555581076.79816,-124,-25,-62
1555581076.82941,-128,-36,-90
1555581076.86067,-128,-39,-84
1555581076.89192,-109,-40,-61
1555581076.92317,-37,-49,-35
1555581076.95442,-32,-56,-29
1555581076.98567,-18,-50,-6
1555581077.01692,-13,-43,1
1555581077.04817,14,-43,5
1555581077.07943,10,-53,-8
1555581077.11068,-19,-58,-23
1555581077.14193,-128,-76,-114
1555581077.17318,-128,-48,-126
1555581077.20443,-128,-13,-96
1555581077.23568,-104,-11,-81
1555581077.26693,-64,2,-44
1555581077.29819,-45,7,-28
1555581077.32944,-12,17,-9
1555581077.36069,-1,22,0
1555581077.39194,4,30,5
1555581077.42319,0,29,5
1555581077.45444,-25,32,-3
1555581077.48569,-79,37,-39
1555581077.51695,-94,23,-51
1555581077.5482,-128,3,-85
1555581077.57945,-128,-3,-83
1555581077.6107,-117,-14,-52
1555581077.64195,-84,-26,-45
1555581077.6732,-33,-44,-31
1555581077.70445,-17,-46,-22
1555581077.73571,-9,-48,-8
1555581077.76696,-2,-58,-5
1555581077.79821,16,-66,-13
1555581077.82946,6,-62,-21
1555581077.86071,-83,-74,-74
1555581077.89196,-128,-66,-128
1555581077.92321,-128,-38,-128
1555581077.95447,-119,5,-91
1555581077.98572,-70,18,-56
1555581078.01697,-31,29,-18
1555581078.04822,-19,39,-12
1555581078.07947,-11,63,5
1555581078.11072,-15,66,15
1555581078.14197,-17,37,14
1555581078.17323,-23,31,2
1555581078.20448,-80,37,-38
1555581078.23573,-92,34,-32
1555581078.26698,-128,-15,-49
1555581078.29823,-128,-48,-111
1555581078.32948,-128,-45,-101
1555581078.36073,-68,-51,-58
1555581078.39199,-47,-59,-52
1555581078.42324,-27,-46,-18
1555581078.45449,-23,-39,-2
1555581078.48574,12,-44,-1
1555581078.51699,19,-50,-4
1555581078.54824,-11,-61,-15
1555581078.57949,-78,-70,-55
1555581078.61075,-128,-86,-122
1555581078.642,-128,-62,-122
1555581078.67325,-123,-15,-93
1555581078.7045,-94,7,-44
1555581078.73575,-41,15,-24
1555581078.767,-9,43,-11
1555581078.79826,-9,50,-7
1555581078.82951,-7,38,7
1555581078.86076,-9,29,5
1555581078.89201,-33,18,-20
1555581078.92326,-45,12,-35
1555581078.95451,-88,-23,-63
1555581078.98576,-123,-46,-89
1555581079.01702,-122,-56,-104
1555581079.04827,-85,-52,-83
1555581079.07952,-37,-58,-53
1555581079.11077,-22,-55,-43
1555581079.14202,-3,-40,-20
1555581079.17327,-1,-30,-1
1555581079.20452,-3,-29,0
1555581079.23578,-9,-44,-17
1555581079.26703,-23,-56,-39
1555581079.29828,-82,-70,-92
1555581079.32953,-107,-82,-107
1555581079.36078,-109,-60,-124
1555581079.39203,-94,-45,-111
1555581079.42328,-61,-16,-63
1555581079.45454,-41,-11,-41
1555581079.48579,-19,7,-20
1555581079.51704,-5,42,0
1555581079.54829,-8,58,11
1555581079.57954,-6,49,17
1555581079.61079,-11,34,3
1555581079.64204,-74,37,-40
1555581079.6733,-99,31,-47
1555581079.70455,-128,-21,-81
1555581079.7358,-128,-44,-106
1555581079.76705,-120,-40,-93
1555581079.7983,-89,-42,-69
1555581079.82955,-36,-44,-41
1555581079.8608,-20,-45,-30
1555581079.89206,-6,-34,-8
1555581079.92331,2,-31,1
1555581079.95456,17,-40,2
1555581079.98581,-9,-59,-15
1555581080.01706,-48,-67,-37
1555581080.04831,-128,-91,-114
1555581080.07956,-128,-70,-127
1555581080.11082,-103,-39,-112
1555581080.14207,-84,-21,-98
1555581080.17332,-59,6,-68
1555581080.20457,-45,17,-52
1555581080.23582,-24,35,-19
1555581080.26707,-14,44,-6
1555581080.29832,5,46,7
1555581080.32958,7,34,4
1555581080.36083,-3,28,-9
1555581080.39208,-57,19,-11
1555581080.42333,-103,3,-28
1555581080.45458,-128,-8,-75
1555581080.48583,-128,-35,-85
1555581080.51708,-123,-31,-67
1555581080.54834,-86,-27,-50
1555581080.57959,-48,-47,-45
1555581080.61084,-36,-52,-33
1555581080.64209,-7,-50,-10
1555581080.67334,1,-48,3
1555581080.70459,-42,-40,-11
1555581080.73584,-37,-44,-23
1555581080.7671,-55,-49,-46
1555581080.79835,-83,-100,-74
1555581080.8296,-110,-88,-87
1555581080.86085,-99,-49,-84
1555581080.8921,-82,-38,-71
1555581080.92335,-48,-14,-35
1555581080.95461,-34,2,-18
1555581080.98586,-26,12,-2
1555581081.01711,-15,20,4
1555581081.04836,6,48,6
1555581081.07961,1,52,6
1555581081.11086,-38,43,-9
1555581081.14211,-82,40,-28
1555581081.17337,-123,7,-41
1555581081.20462,-128,-34,-67
1555581081.23587,-128,-43,-83
1555581081.26712,-106,-38,-50
1555581081.29837,-68,-39,-31
1555581081.32962,-26,-35,-19
1555581081.36087,-28,-33,-26
1555581081.39213,-13,-33,-13
1555581081.42338,-16,-35,-11
1555581081.45463,-23,-55,-24
1555581081.48588,-51,-54,-36
1555581081.51713,-95,-62,-56
1555581081.54838,-121,-62,-72
1555581081.57963,-128,-30,-75
1555581081.61089,-95,-5,-59
1555581081.64214,-68,-5,-42
1555581081.67339,-47,-8,-29
1555581081.70464,-34,6,-23
1555581081.73589,-11,28,-7
1555581081.76714,-2,40,0
1555581081.79839,8,45,10
1555581081.82965,-1,34,7
1555581081.8609,-67,35,-25
1555581081.89215,-107,35,-40
1555581081.9234,-128,-7,-61
1555581081.95465,-128,-28,-76
1555581081.9859,-119,-30,-60
1555581082.01715,-64,-37,-41
1555581082.04841,-40,-41,-36
1555581082.07966,-9,-37,-22
1555581082.11091,-3,-28,-14
1555581082.14216,-1,-25,0
1555581082.17341,-7,-29,0
1555581082.20466,-23,-42,-15
1555581082.23591,-51,-59,-35
1555581082.26717,-128,-90,-86
1555581082.29842,-128,-75,-91
1555581082.32967,-114,-42,-74
1555581082.36092,-94,-28,-63
1555581082.39217,-52,-12,-34
1555581082.42342,-38,-2,-24
1555581082.45467,-21,28,-9
1555581082.48593,-6,47,5
1555581082.51718,-4,44,7
1555581082.54843,-30,28,-6
1555581082.57968,-55,28,-17
1555581082.61093,-100,10,-20
1555581082.64218,-128,-3,-34
1555581082.67343,-128,-36,-79
1555581082.70469,-127,-45,-86
1555581082.73594,-88,-26,-56
1555581082.76719,-65,-30,-48
1555581082.79844,-21,-45,-31
1555581082.82969,19,-30,-20
1555581082.86094,28,-23,-12
1555581082.89219,11,-25,-8
1555581082.92345,4,-30,-17
1555581082.9547,-50,-47,-37
1555581082.98595,-119,-53,-63
1555581083.0172,-128,-46,-66
1555581083.04845,-128,-25,-49
1555581083.0797,-116,-3,-41
1555581083.11095,-95,-3,-32
1555581083.14221,-66,-11,-22
1555581083.17346,-48,-8,-19
1555581083.20471,-12,11,-7
1555581083.23596,-8,15,-6
1555581083.26721,-15,39,-11
1555581083.29846,-33,23,-8
1555581083.32972,-64,15,-7
1555581083.36097,-122,-1,19
1555581083.39222,-128,-13,28
1555581083.42347,-128,-16,8
1555581083.45472,-123,-14,10
1555581083.48597,-59,-23,8
1555581083.51722,-40,-32,-1
1555581083.54848,-19,-18,-13
1555581083.57973,4,-20,1
1555581083.61098,20,-25,3
1555581083.64223,14,-29,1
1555581083.67348,-50,-43,-4
1555581083.70473,-123,-79,-48
1555581083.73598,-128,-84,-48
1555581083.76724,-123,-72,-42
1555581083.79849,-125,-59,-46
1555581083.82974,-95,-33,-33
1555581083.86099,-77,-26,-26
1555581083.89224,-38,-2,-11
1555581083.92349,-18,15,-3
1555581083.95474,24,46,18
1555581083.986,26,58,38
1555581084.01725,-57,66,-4
1555581084.0485,-77,58,-9
1555581084.07975,-84,26,-29
1555581084.111,-128,-23,-103
1555581084.14225,-128,-55,-109
1555581084.1735,-101,-36,-69
1555581084.20476,-85,-37,-57
1555581084.23601,-36,-40,-34
1555581084.26726,-32,-39,-26
1555581084.29851,-7,-35,-11
1555581084.32976,8,-37,-5
1555581084.36101,22,-45,-8
1555581084.39226,8,-51,-33
1555581084.42352,-56,-50,-49
1555581084.45477,-111,-66,-63
1555581084.48602,-128,-59,-93
1555581084.51727,-128,-31,-50
1555581084.54852,-106,-22,-42
1555581084.57977,-46,-11,-22
1555581084.61102,-31,-7,-15
1555581084.64228,-13,13,-5
1555581084.67353,-10,20,-9
1555581084.70478,-2,40,-3
1555581084.73603,-8,38,3
1555581084.76728,-46,23,-6
1555581084.79853,-78,28,-13
1555581084.82978,-113,12,-12
1555581084.86104,-128,-7,-29
1555581084.89229,-128,-39,-65
1555581084.92354,-119,-45,-46
1555581084.95479,-90,-44,-39
1555581084.98604,-30,-46,-25
1555581085.01729,-8,-45,-19
1555581085.04854,3,-32,-12
1555581085.0798,6,-29,-6
1555581085.11105,11,-35,-7
1555581085.1423,1,-40,-10
1555581085.17355,-68,-47,-21
1555581085.2048,-114,-63,-39
1555581085.23605,-128,-74,-63
1555581085.2673,-128,-65,-57
1555581085.29856,-108,-39,-46
1555581085.32981,-61,-18,-29
1555581085.36106,-45,-18,-21
1555581085.39231,-24,-4,-7
1555581085.42356,-11,13,-2
1555581085.45481,1,55,1
1555581085.48606,4,62,5
1555581085.51732,-33,51,-9
1555581085.54857,-73,49,-9
1555581085.57982,-100,28,-25
1555581085.61107,-128,3,-49
1555581085.64232,-128,-30,-83
1555581085.67357,-128,-13,-74
1555581085.70482,-89,-34,-56
1555581085.73608,-30,-35,-31
1555581085.79858,6,-35,-8
1555581085.76733,-18,-39,-28
1555581085.82983,5,-31,-2
1555581085.86108,9,-33,-3
1555581085.89233,0,-45,-8
1555581085.92358,-69,-56,-31
1555581085.95484,-93,-71,-45
1555581085.98609,-128,-62,-99
1555581086.01734,-128,-47,-91
1555581086.04859,-117,-24,-67
1555581086.07984,-91,-18,-49
1555581086.11109,-50,0,-16
1555581086.14235,-42,12,0
