TS_Machine,gsr
1555570957.598,4.616087
1555570957.848,4.60584
1555570958.098,4.594311
1555570958.348,4.586626
1555570958.598,4.594311
1555570958.848,4.631459
1555570959.098,4.718563
1555570959.348,4.815915
1555570959.598,4.882524
1555570959.848,4.910705
1555570960.098,4.919672
1555570960.348,4.908143
1555570960.598,4.879962
1555570960.848,4.837691
1555570961.098,4.800544
1555570961.348,4.769801
1555570961.598,4.736496
1555570961.848,4.713439
1555570962.098,4.692944
1555570962.348,4.676292
1555570962.598,4.658359
1555570962.848,4.653235
1555570963.098,4.650673
1555570963.348,4.640426
1555570963.598,4.634021
1555570963.848,4.630178
1555570964.098,4.626335
1555570964.348,4.621212
1555570964.598,4.622492
1555570964.848,4.617369
1555570965.098,4.608402
1555570965.348,4.59303
1555570965.598,4.59303
1555570965.848,4.584064
1555570966.098,4.567411
1555570966.348,4.561007
1555570966.598,4.555883
1555570966.848,4.543074
1555570967.098,4.539231
1555570967.348,4.530264
1555570967.598,4.52386
1555570967.848,4.509769
1555570968.098,4.503365
1555570968.348,4.49824
1555570968.598,4.487993
1555570968.848,4.475183
1555570969.098,4.472621
1555570969.348,4.464936
1555570969.598,4.453407
1555570969.848,4.449564
1555570970.098,4.44316
1555570970.348,4.432912
1555570970.598,4.430892
1555570970.848,4.42833
1555570971.098,4.424487
1555570971.348,4.416801
1555570971.598,4.412959
1555570971.848,4.406554
1555570972.098,4.402711
1555570972.348,4.391182
1555570972.598,4.386059
1555570972.848,4.378373
1555570973.098,4.368125
1555570973.348,4.359159
1555570973.598,4.350192
1555570973.848,4.343788
1555570974.098,4.336102
1555570974.348,4.328416
1555570974.598,4.323292
1555570974.848,4.311764
1555570975.098,4.304078
1555570975.348,4.307921
1555570975.598,4.316888
1555570975.848,4.332259
1555570976.098,4.334821
1555570976.348,4.336102
1555570976.598,4.336102
1555570976.848,4.343788
1555570977.098,4.351473
1555570977.348,4.371968
1555570977.598,4.375811
1555570977.848,4.370687
1555570978.098,4.368125
1555570978.348,4.364283
1555570978.598,4.347631
1555570978.848,4.33354
1555570979.098,4.323292
1555570979.348,4.305359
1555570979.598,4.289988
1555570979.848,4.284864
1555570980.098,4.274616
1555570980.348,4.260526
1555570980.598,4.256683
1555570980.848,4.252841
1555570981.098,4.246436
1555570981.348,4.240031
1555570981.598,4.231064
1555570981.848,4.228502
1555570982.098,4.223379
1555570982.348,4.213131
1555570982.598,4.21185
1555570982.848,4.206727
1555570983.098,4.193917
1555570983.348,4.191355
1555570983.598,4.188793
1555570983.848,4.183669
1555570984.098,4.18495
1555570984.348,4.18495
1555570984.598,4.174703
1555570984.848,4.169579
1555570985.098,4.169579
1555570985.348,4.160612
1555570985.598,4.154208
1555570985.848,4.141398
1555570986.098,4.141398
1555570986.348,4.134994
1555570986.598,4.14396
1555570986.848,4.215693
1555570987.098,4.337383
1555570987.348,4.450106
1555570987.598,4.524401
1555570987.848,4.553863
1555570988.098,4.570515
1555570988.348,4.566672
1555570988.598,4.560267
1555570988.848,4.538491
1555570989.098,4.521839
1555570989.348,4.533368
1555570989.598,4.587167
1555570989.848,4.608943
1555570990.098,4.608943
1555570990.348,4.603819
1555570990.598,4.608943
1555570990.848,4.601257
1555570991.098,4.573077
1555570991.348,4.548739
1555570991.598,4.528244
1555570991.848,4.509029
1555570992.098,4.502625
1555570992.348,4.498782
1555570992.598,4.509029
1555570992.848,4.519277
1555570993.098,4.529525
1555570993.348,4.533368
1555570993.598,4.529525
1555570993.848,4.516715
1555570994.098,4.503906
1555570994.348,4.489815
1555570994.598,4.468039
1555570994.848,4.456511
1555570995.098,4.443701
1555570995.348,4.430892
1555570995.598,4.419363
1555570995.848,4.412959
1555570996.098,4.405273
1555570996.348,4.396306
1555570996.598,4.386059
1555570996.848,4.379654
1555570997.098,4.370687
1555570997.348,4.359159
1555570997.598,4.355316
1555570997.848,4.345068
1555570998.098,4.336102
1555570998.348,4.325854
1555570998.598,4.319449
1555570998.848,4.309202
1555570999.098,4.302797
1555570999.348,4.296392
1555570999.598,4.291269
1555570999.848,4.274616
1555571000.098,4.266931
1555571000.348,4.259245
1555571000.598,4.254121
1555571000.848,4.250278
1555571001.098,4.242593
1555571001.348,4.245155
1555571001.598,4.29383
1555571001.848,4.443701
1555571002.098,4.628157
1555571002.348,4.784433
1555571002.598,4.921494
1555571002.848,4.986822
1555571003.098,5.008057
1555571003.348,5.009338
1555571003.598,4.979876
1555571003.848,4.928638
1555571004.098,4.879962
1555571004.348,4.827444
1555571004.598,4.789015
1555571004.848,4.753149
1555571005.098,4.724968
1555571005.348,4.694225
1555571005.598,4.662201
1555571005.848,4.642987
1555571006.098,4.622492
1555571006.348,4.596873
1555571006.598,4.580221
1555571006.848,4.56485
1555571007.098,4.545636
1555571007.348,4.534107
1555571007.598,4.521297
1555571007.848,4.500803
1555571008.098,4.489274
1555571008.348,4.479026
1555571008.598,4.463655
1555571008.848,4.453407
1555571009.098,4.444441
1555571009.348,4.42907
1555571009.598,4.424487
1555571009.848,4.415521
1555571010.098,4.405273
1555571010.348,4.392463
1555571010.598,4.383497
1555571010.848,4.370687
1555571011.098,4.356597
1555571011.348,4.350192
1555571011.598,4.339945
1555571011.848,4.325854
1555571012.098,4.313045
1555571012.348,4.305359
1555571012.598,4.29255
1555571012.848,4.286145
1555571013.098,4.274616
1555571013.348,4.259245
1555571013.598,4.252841
1555571013.848,4.245155
1555571014.098,4.228502
1555571014.348,4.223379
1555571014.598,4.210569
1555571014.848,4.200322
1555571015.098,4.195198
1555571015.348,4.181108
1555571015.598,4.172141
1555571015.848,4.163174
1555571016.098,4.151646
1555571016.348,4.134994
1555571016.598,4.131151
1555571016.848,4.120903
1555571017.098,4.109375
1555571017.348,4.100408
1555571017.598,4.087598
1555571017.848,4.078632
1555571018.098,4.069665
1555571018.348,4.061979
1555571018.598,4.047889
1555571018.848,4.040204
1555571019.098,4.033799
1555571019.348,4.026113
1555571019.598,4.012022
1555571019.848,4.001775
1555571020.098,3.994089
1555571020.348,3.979999
1555571020.598,3.976156
1555571020.848,3.964628
1555571021.098,3.958223
1555571021.348,3.947975
1555571021.598,3.94029
1555571021.848,3.933975
1555571022.098,3.925009
1555571022.348,3.918604
1555571022.598,3.904513
1555571022.848,3.896828
1555571023.098,3.88658
1555571023.348,3.878895
1555571023.598,3.871209
1555571023.848,3.863523
1555571024.098,3.855838
1555571024.348,3.849433
1555571024.598,3.843028
1555571024.848,3.834061
1555571025.098,3.821252
1555571025.348,3.816128
1555571025.598,3.811004
1555571025.848,3.794352
1555571026.098,3.79179
1555571026.348,3.785386
1555571026.598,3.773857
1555571026.848,3.771295
1555571027.098,3.766171
1555571027.348,3.753362
1555571027.598,3.752081
1555571027.848,3.741833
1555571028.098,3.732867
1555571028.348,3.730305
1555571028.598,3.721338
1555571028.848,3.708529
1555571029.098,3.704686
1555571029.348,3.702124
1555571029.598,3.689315
1555571029.848,3.690596
1555571030.098,3.684191
1555571030.348,3.6701
1555571030.598,3.6701
1555571030.848,3.658572
1555571031.098,3.652167
1555571031.348,3.639358
1555571031.598,3.639358
1555571031.848,3.636796
1555571032.098,3.622705
1555571032.348,3.617582
1555571032.598,3.616301
1555571032.848,3.608615
1555571033.098,3.599648
1555571033.348,3.593244
1555571033.598,3.589401
1555571033.848,3.580434
1555571034.098,3.570187
1555571034.348,3.571468
1555571034.598,3.567625
1555571034.848,3.554815
1555571035.098,3.550972
1555571035.348,3.545849
1555571035.598,3.53432
1555571035.848,3.531758
1555571036.098,3.527915
1555571036.348,3.52023
1555571036.598,3.509982
1555571036.848,3.50614
1555571037.098,3.50614
1555571037.348,3.490768
1555571037.598,3.490768
1555571037.848,3.485644
1555571038.098,3.468992
1555571038.348,3.470273
1555571038.598,3.461306
1555571038.848,3.461306
1555571039.098,3.45234
1555571039.348,3.445935
1555571039.598,3.440811
1555571039.848,3.436821
1555571040.098,3.430417
1555571040.348,3.425293
1555571040.598,3.418888
1555571040.848,3.412483
1555571041.098,3.40736
1555571041.348,3.406079
1555571041.598,3.393269
1555571041.848,3.389426
1555571042.098,3.386864
1555571042.348,3.374055
1555571042.598,3.372774
1555571042.848,3.36765
1555571043.098,3.359965
1555571043.348,3.354841
1555571043.598,3.348436
1555571043.848,3.345874
1555571044.098,3.334346
1555571044.348,3.329222
1555571044.598,3.325379
1555571044.848,3.31257
1555571045.098,3.306165
1555571045.348,3.304884
1555571045.598,3.294636
1555571045.848,3.286951
1555571046.098,3.284389
1555571046.348,3.281827
1555571046.598,3.270298
1555571046.848,3.267737
1555571047.098,3.260051
1555571047.348,3.253646
1555571047.598,3.247241
1555571047.848,3.240837
1555571048.098,3.235713
1555571048.348,3.225465
1555571048.598,3.225465
1555571048.848,3.219061
1555571049.098,3.20497
1555571049.348,3.20497
1555571049.598,3.201127
1555571049.848,3.192161
1555571050.098,3.183194
1555571050.348,3.17679
1555571050.598,3.169104
1555571050.848,3.16398
1555571051.098,3.156294
1555571051.348,3.15117
1555571051.598,3.143485
1555571051.848,3.139642
1555571052.098,3.134518
1555571052.348,3.130675
1555571052.598,3.116585
1555571052.848,3.116585
1555571053.098,3.108899
1555571053.348,3.099933
1555571053.598,3.089685
1555571053.848,3.09609
1555571054.098,3.087123
1555571054.348,3.078157
1555571054.598,3.074314
1555571054.848,3.06919
1555571055.098,3.061504
1555571055.348,3.051257
1555571055.598,3.053819
1555571055.848,3.043571
1555571056.098,3.029481
1555571056.348,3.032043
1555571056.598,3.020514
1555571056.848,3.017952
1555571057.098,3.011548
1555571057.348,3.010267
1555571057.598,3.006424
1555571057.848,2.998738
1555571058.098,2.989771
1555571058.348,2.985929
1555571058.598,2.979524
1555571058.848,2.969276
1555571059.098,2.967995
1555571059.348,2.964153
1555571059.598,2.955186
1555571059.848,2.951343
1555571060.098,2.946219
1555571060.348,2.950436
1555571060.598,2.938907
1555571060.848,2.937627
1555571061.098,2.932503
1555571061.348,2.924817
1555571061.598,2.918412
1555571061.848,2.917131
1555571062.098,2.912008
1555571062.348,2.90176
1555571062.598,2.903041
1555571062.848,2.897917
1555571063.098,2.890232
1555571063.348,2.886389
1555571063.598,2.879984
1555571063.848,2.876141
1555571064.098,2.865894
1555571064.348,2.862051
1555571064.598,2.862051
1555571064.848,2.855646
1555571065.098,2.845398
1555571065.348,2.842837
1555571065.598,2.841556
1555571065.848,2.83387
1555571066.098,2.828746
1555571066.348,2.827465
1555571066.598,2.817218
1555571066.848,2.815937
1555571067.098,2.80697
1555571067.348,2.808251
1555571067.598,2.803127
1555571067.848,2.794161
1555571068.098,2.791599
1555571068.348,2.785194
1555571068.598,2.782632
1555571068.848,2.776227
1555571069.098,2.772385
1555571069.348,2.76598
1555571069.598,2.759575
1555571069.848,2.754451
1555571070.098,2.758294
1555571070.348,2.768542
1555571070.598,2.796723
1555571070.848,2.862051
1555571071.098,2.933784
1555571071.348,2.995269
1555571071.598,3.043945
1555571071.848,3.073407
1555571072.098,3.090059
1555571072.348,3.092621
1555571072.598,3.084935
1555571072.848,3.081092
1555571073.098,3.070845
1555571073.348,3.058035
1555571073.598,3.049069
1555571073.848,3.042664
1555571074.098,3.031136
1555571074.348,3.024731
1555571074.598,3.02345
1555571074.848,3.02345
1555571075.098,3.038821
1555571075.348,3.06444
1555571075.598,3.095183
1555571075.848,3.113116
1555571076.098,3.119521
1555571076.348,3.123364
1555571076.598,3.125926
1555571076.848,3.123364
1555571077.098,3.122083
1555571077.348,3.116959
1555571077.598,3.109273
1555571077.848,3.099026
1555571078.098,3.096464
1555571078.348,3.101588
1555571078.598,3.109273
1555571078.848,3.102869
1555571079.098,3.100307
1555571079.348,3.099026
1555571079.598,3.09134
1555571079.848,3.081092
1555571080.098,3.075969
1555571080.348,3.073407
