TS_Machine,tmp
1555581700.53097,34.97
1555581700.78098,34.97
1555581701.03099,34.97
1555581701.281,34.97
1555581701.53101,34.97
1555581701.78102,34.97
1555581702.03104,34.97
1555581702.28105,34.97
1555581702.53106,34.97
1555581702.78107,34.97
1555581703.03108,34.97
1555581703.28109,34.97
1555581703.53111,34.97
1555581703.78112,34.97
1555581704.03113,35.01
1555581704.28114,35.01
1555581704.53115,35.01
1555581704.78116,35.01
1555581705.03117,34.99
1555581705.28119,34.99
1555581705.5312,34.99
1555581705.78121,34.99
1555581706.03122,34.99
1555581706.28123,34.99
1555581706.53124,34.99
1555581706.78126,34.99
1555581707.03127,35.01
1555581707.28128,35.01
1555581707.53129,35.01
1555581707.7813,35.01
1555581708.03131,35.01
1555581708.28133,35.01
1555581708.53134,35.01
1555581708.78135,35.01
1555581709.03136,35.01
1555581709.28137,35.01
1555581709.53138,35.01
1555581709.78139,35.01
1555581710.03141,35.03
1555581710.28142,35.03
1555581710.53143,35.03
1555581710.78144,35.03
1555581711.03145,35.03
1555581711.28146,35.03
1555581711.53148,35.03
1555581711.78149,35.03
1555581712.0315,35.03
1555581712.28151,35.03
1555581712.53152,35.03
1555581712.78153,35.03
1555581713.03155,35.03
1555581713.28156,35.03
1555581713.53157,35.03
1555581713.78158,35.03
1555581714.03159,35.05
1555581714.2816,35.05
1555581714.53161,35.05
1555581714.78163,35.05
1555581715.03164,35.07
1555581715.28165,35.07
1555581715.53166,35.07
1555581715.78167,35.07
1555581716.03168,35.09
1555581716.2817,35.09
1555581716.53171,35.09
1555581716.78172,35.09
1555581717.03173,35.09
1555581717.28174,35.09
1555581717.53175,35.09
1555581717.78176,35.09
1555581718.03178,35.09
1555581718.28179,35.09
1555581718.5318,35.09
1555581718.78181,35.09
1555581719.03182,35.09
1555581719.28183,35.09
1555581719.53185,35.09
1555581719.78186,35.09
1555581720.03187,35.11
1555581720.28188,35.11
1555581720.53189,35.11
1555581720.7819,35.11
1555581721.03192,35.09
1555581721.28193,35.09
1555581721.53194,35.09
1555581721.78195,35.09
1555581722.03196,35.11
1555581722.28197,35.11
1555581722.53198,35.11
1555581722.782,35.11
1555581723.03201,35.13
1555581723.28202,35.13
1555581723.53203,35.13
1555581723.78204,35.13
1555581724.03205,35.13
1555581724.28207,35.13
1555581724.53208,35.13
1555581724.78209,35.13
1555581725.0321,35.13
1555581725.28211,35.13
1555581725.53212,35.13
1555581725.78214,35.13
1555581726.03215,35.13
1555581726.28216,35.13
1555581726.53217,35.13
1555581726.78218,35.13
1555581727.03219,35.15
1555581727.2822,35.15
1555581727.53222,35.15
1555581727.78223,35.15
1555581728.03224,35.13
1555581728.28225,35.13
1555581728.53226,35.13
1555581728.78227,35.13
1555581729.03229,35.13
1555581729.2823,35.13
1555581729.53231,35.13
1555581729.78232,35.13
1555581730.03233,35.13
1555581730.28234,35.13
1555581730.53236,35.13
1555581730.78237,35.13
1555581731.03238,35.15
1555581731.28239,35.15
1555581731.5324,35.15
1555581731.78241,35.15
1555581732.03242,35.15
1555581732.28244,35.15
1555581732.53245,35.15
1555581732.78246,35.15
1555581733.03247,35.15
1555581733.28248,35.15
1555581733.53249,35.15
1555581733.78251,35.15
1555581734.03252,35.15
1555581734.28253,35.15
1555581734.53254,35.15
1555581734.78255,35.15
1555581735.03256,35.15
1555581735.28258,35.15
1555581735.53259,35.15
1555581735.7826,35.15
1555581736.03261,35.15
1555581736.28262,35.15
1555581736.53263,35.15
1555581736.78264,35.15
1555581737.03266,35.17
1555581737.28267,35.17
1555581737.53268,35.17
1555581737.78269,35.17
1555581738.0327,35.15
1555581738.28271,35.15
1555581738.53273,35.15
1555581738.78274,35.15
1555581739.03275,35.15
1555581739.28276,35.15
1555581739.53277,35.15
1555581739.78278,35.15
1555581740.0328,35.17
1555581740.28281,35.17
1555581740.53282,35.17
1555581740.78283,35.17
1555581741.03284,35.15
1555581741.28285,35.15
1555581741.53286,35.15
1555581741.78288,35.15
1555581742.03289,35.17
1555581742.2829,35.17
1555581742.53291,35.17
1555581742.78292,35.17
1555581743.03293,35.17
1555581743.28295,35.17
1555581743.53296,35.17
1555581743.78297,35.17
1555581744.03298,35.17
1555581744.28299,35.17
1555581744.533,35.17
1555581744.78302,35.17
1555581745.03303,35.17
1555581745.28304,35.17
1555581745.53305,35.17
1555581745.78306,35.17
1555581746.03307,35.19
1555581746.28308,35.19
1555581746.5331,35.19
1555581746.78311,35.19
1555581747.03312,35.17
1555581747.28313,35.17
1555581747.53314,35.17
1555581747.78315,35.17
1555581748.03317,35.19
1555581748.28318,35.19
1555581748.53319,35.19
1555581748.7832,35.19
1555581749.03321,35.19
1555581749.28322,35.19
1555581749.53324,35.19
1555581749.78325,35.19
1555581750.03326,35.19
1555581750.28327,35.19
1555581750.53328,35.19
1555581750.78329,35.19
1555581751.0333,35.19
1555581751.28332,35.19
1555581751.53333,35.19
1555581751.78334,35.19
1555581752.03335,35.21
1555581752.28336,35.21
1555581752.53337,35.21
1555581752.78339,35.21
1555581753.0334,35.21
1555581753.28341,35.21
1555581753.53342,35.21
1555581753.78343,35.21
1555581754.03344,35.21
1555581754.28345,35.21
1555581754.53347,35.21
1555581754.78348,35.21
1555581755.03349,35.21
1555581755.2835,35.21
1555581755.53351,35.21
1555581755.78352,35.21
1555581756.03354,35.21
1555581756.28355,35.21
1555581756.53356,35.21
1555581756.78357,35.21
1555581757.03358,35.21
1555581757.28359,35.21
1555581757.53361,35.21
1555581757.78362,35.21
1555581758.03363,35.21
1555581758.28364,35.21
1555581758.53365,35.21
1555581758.78366,35.21
1555581759.03367,35.21
1555581759.28369,35.21
1555581759.5337,35.21
1555581759.78371,35.21
1555581760.03372,35.21
1555581760.28373,35.21
1555581760.53374,35.21
1555581760.78376,35.21
1555581761.03377,35.21
1555581761.28378,35.21
1555581761.53379,35.21
1555581761.7838,35.21
1555581762.03381,35.21
